,URL,full_model_name,Parameters,drop|3,gsm8k,MMLU_average,winogrande,all,arc:challenge|25,hellaswag|10,MMLU_abstract_algebra,MMLU_anatomy,MMLU_astronomy,MMLU_business_ethics,MMLU_clinical_knowledge,MMLU_college_biology,MMLU_college_chemistry,MMLU_college_computer_science,MMLU_college_mathematics,MMLU_college_medicine,MMLU_college_physics,MMLU_computer_security,MMLU_conceptual_physics,MMLU_econometrics,MMLU_electrical_engineering,MMLU_elementary_mathematics,MMLU_formal_logic,MMLU_global_facts,MMLU_high_school_biology,MMLU_high_school_chemistry,MMLU_high_school_computer_science,MMLU_high_school_european_history,MMLU_high_school_geography,MMLU_high_school_government_and_politics,MMLU_high_school_macroeconomics,MMLU_high_school_mathematics,MMLU_high_school_microeconomics,MMLU_high_school_physics,MMLU_high_school_psychology,MMLU_high_school_statistics,MMLU_high_school_us_history,MMLU_high_school_world_history,MMLU_human_aging,MMLU_human_sexuality,MMLU_international_law,MMLU_jurisprudence,MMLU_logical_fallacies,MMLU_machine_learning,MMLU_management,MMLU_marketing,MMLU_medical_genetics,MMLU_miscellaneous,MMLU_moral_disputes,MMLU_moral_scenarios,MMLU_nutrition,MMLU_philosophy,MMLU_prehistory,MMLU_professional_accounting,MMLU_professional_law,MMLU_professional_medicine,MMLU_professional_psychology,MMLU_public_relations,MMLU_security_studies,MMLU_sociology,MMLU_us_foreign_policy,MMLU_virology,MMLU_world_religions,truthfulqa:mc|0
LLaMA_2_70B_LoRA,https://huggingface.co/adonlee/LLaMA_2_70B_LoRA,adonlee/LLaMA_2_70B_LoRA,70.0,,,0.7083507033667895,,0.7077096775676626,0.6902730375426621,0.6886078470424218,0.35,0.6370370370370371,0.8223684210526315,0.76,0.7358490566037735,0.8263888888888888,0.49,0.56,0.41,0.6936416184971098,0.37254901960784315,0.78,0.7106382978723405,0.45614035087719296,0.6206896551724138,0.47619047619047616,0.5079365079365079,0.47,0.8096774193548387,0.5714285714285714,0.78,0.8545454545454545,0.898989898989899,0.9326424870466321,0.7102564102564103,0.337037037037037,0.7815126050420168,0.4900662251655629,0.9009174311926605,0.5833333333333334,0.9019607843137255,0.8818565400843882,0.7847533632286996,0.8473282442748091,0.8760330578512396,0.8425925925925926,0.8466257668711656,0.5714285714285714,0.8252427184466019,0.9145299145299145,0.75,0.8697318007662835,0.7687861271676301,0.646927374301676,0.7516339869281046,0.7684887459807074,0.8271604938271605,0.599290780141844,0.5814863102998696,0.7316176470588235,0.7679738562091504,0.7454545454545455,0.8081632653061225,0.8756218905472637,0.86,0.5301204819277109,0.8713450292397661,
LLaMA-2-Jannie-70B-QLoRA,https://huggingface.co/v2ray/LLaMA-2-Jannie-70B-QLoRA,v2ray/LLaMA-2-Jannie-70B-QLoRA,70.0,,,0.6936674444309827,,0.6925083842860563,0.6424914675767918,0.676458872734515,0.33,0.6148148148148148,0.8157894736842105,0.7,0.7245283018867924,0.8333333333333334,0.53,0.58,0.37,0.6242774566473989,0.45098039215686275,0.77,0.6553191489361702,0.4298245614035088,0.6137931034482759,0.4365079365079365,0.49206349206349204,0.47,0.8096774193548387,0.5270935960591133,0.73,0.8121212121212121,0.8737373737373737,0.9378238341968912,0.7102564102564103,0.35555555555555557,0.7689075630252101,0.4370860927152318,0.8715596330275229,0.6064814814814815,0.9068627450980392,0.8945147679324894,0.7757847533632287,0.8396946564885496,0.859504132231405,0.8055555555555556,0.8098159509202454,0.5178571428571429,0.8349514563106796,0.8931623931623932,0.75,0.855683269476373,0.7774566473988439,0.4446927374301676,0.7352941176470589,0.7909967845659164,0.8240740740740741,0.5460992907801419,0.5384615384615384,0.7610294117647058,0.7450980392156863,0.7454545454545455,0.8,0.8955223880597015,0.92,0.536144578313253,0.8538011695906432,
LLaMA-2-Wizard-70B-QLoRA,https://huggingface.co/v2ray/LLaMA-2-Wizard-70B-QLoRA,v2ray/LLaMA-2-Wizard-70B-QLoRA,70.0,,,0.689585931591035,,0.6888919374287494,0.643344709897611,0.6948814977096196,0.36,0.6148148148148148,0.7894736842105263,0.69,0.7169811320754716,0.8333333333333334,0.44,0.53,0.44,0.6358381502890174,0.4019607843137255,0.78,0.6723404255319149,0.42105263157894735,0.593103448275862,0.43915343915343913,0.4603174603174603,0.49,0.8161290322580645,0.4876847290640394,0.76,0.8242424242424242,0.8636363636363636,0.9430051813471503,0.7051282051282052,0.3148148148148148,0.7605042016806722,0.423841059602649,0.8917431192660551,0.5740740740740741,0.9166666666666666,0.8649789029535865,0.7802690582959642,0.8473282442748091,0.8677685950413223,0.8055555555555556,0.8282208588957055,0.5267857142857143,0.8252427184466019,0.9017094017094017,0.7,0.8531289910600255,0.7803468208092486,0.4972067039106145,0.7483660130718954,0.7652733118971061,0.808641975308642,0.5567375886524822,0.5547588005215124,0.7389705882352942,0.7516339869281046,0.7272727272727273,0.7714285714285715,0.8855721393034826,0.91,0.5421686746987951,0.8771929824561403,
FashionGPT-70B-V1,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1,ICBU-NPU/FashionGPT-70B-V1,70.0,,,0.7070259174125432,,0.7059262484193939,0.6672354948805461,0.6819358693487353,0.38,0.6518518518518519,0.8421052631578947,0.75,0.7132075471698113,0.8194444444444444,0.5,0.59,0.4,0.6647398843930635,0.39215686274509803,0.8,0.6808510638297872,0.4298245614035088,0.6275862068965518,0.43915343915343913,0.49206349206349204,0.5,0.8161290322580645,0.5369458128078818,0.8,0.8424242424242424,0.8838383838383839,0.9378238341968912,0.7102564102564103,0.337037037037037,0.7773109243697479,0.45695364238410596,0.9027522935779817,0.6203703703703703,0.9264705882352942,0.8860759493670886,0.8116591928251121,0.8702290076335878,0.8842975206611571,0.8425925925925926,0.8220858895705522,0.5178571428571429,0.8155339805825242,0.8931623931623932,0.72,0.8773946360153256,0.7861271676300579,0.6,0.7647058823529411,0.7813504823151125,0.8364197530864198,0.5567375886524822,0.5495436766623207,0.75,0.7565359477124183,0.7363636363636363,0.8122448979591836,0.8805970149253731,0.92,0.5421686746987951,0.8654970760233918,
FashionGPT-70B-V1.1,https://huggingface.co/ICBU-NPU/FashionGPT-70B-V1.1,ICBU-NPU/FashionGPT-70B-V1.1,70.0,,,0.7098532737099211,,0.7092811864393619,0.6843003412969283,0.7016530571599283,0.31,0.6296296296296297,0.8289473684210527,0.77,0.7433962264150943,0.8333333333333334,0.5,0.61,0.4,0.6589595375722543,0.3627450980392157,0.78,0.7106382978723405,0.4649122807017544,0.6413793103448275,0.4708994708994709,0.5,0.5,0.8290322580645161,0.5763546798029556,0.78,0.8424242424242424,0.8939393939393939,0.9326424870466321,0.7128205128205128,0.337037037037037,0.7773109243697479,0.48344370860927155,0.9045871559633027,0.5925925925925926,0.9117647058823529,0.8818565400843882,0.8026905829596412,0.8549618320610687,0.8760330578512396,0.8425925925925926,0.8343558282208589,0.5446428571428571,0.8349514563106796,0.9145299145299145,0.74,0.8646232439335888,0.7774566473988439,0.646927374301676,0.7581699346405228,0.7717041800643086,0.8271604938271605,0.6028368794326241,0.5867014341590613,0.7463235294117647,0.7647058823529411,0.7363636363636363,0.8122448979591836,0.8855721393034826,0.87,0.5240963855421686,0.8713450292397661,
Llama-2-7b-longlora-100k-ft,https://huggingface.co/Yukang/Llama-2-7b-longlora-100k-ft,Yukang/Llama-2-7b-longlora-100k-ft,7.0,,,0.23476598199748192,,0.23455922490809464,0.20051194539249148,0.2568213503286198,0.25,0.17777777777777778,0.18421052631578946,0.28,0.22264150943396227,0.2569444444444444,0.16,0.22,0.23,0.2023121387283237,0.21568627450980393,0.28,0.26382978723404255,0.23684210526315788,0.23448275862068965,0.20899470899470898,0.2698412698412698,0.18,0.17096774193548386,0.18719211822660098,0.31,0.26666666666666666,0.22727272727272727,0.20725388601036268,0.24615384615384617,0.21851851851851853,0.17647058823529413,0.1986754966887417,0.1926605504587156,0.16203703703703703,0.25980392156862747,0.25738396624472576,0.20179372197309417,0.2595419847328244,0.371900826446281,0.24074074074074073,0.22085889570552147,0.3125,0.17475728155339806,0.2948717948717949,0.3,0.23754789272030652,0.24855491329479767,0.2435754189944134,0.25163398692810457,0.19935691318327975,0.2006172839506173,0.23404255319148937,0.25684485006518903,0.16544117647058823,0.2434640522875817,0.23636363636363636,0.20408163265306123,0.24378109452736318,0.28,0.28313253012048195,0.3216374269005848,
Llama-2-13b-chat-longlora-32k-sft,https://huggingface.co/Yukang/Llama-2-13b-chat-longlora-32k-sft,Yukang/Llama-2-13b-chat-longlora-32k-sft,13.0,,,0.2311685755537103,,0.23119512354352656,0.20648464163822525,0.2574188408683529,0.22,0.18518518518518517,0.17763157894736842,0.3,0.21509433962264152,0.2569444444444444,0.2,0.26,0.21,0.20809248554913296,0.21568627450980393,0.28,0.26382978723404255,0.23684210526315788,0.2413793103448276,0.20899470899470898,0.2857142857142857,0.18,0.1774193548387097,0.15270935960591134,0.25,0.21818181818181817,0.17676767676767677,0.19689119170984457,0.20256410256410257,0.2111111111111111,0.21008403361344538,0.1986754966887417,0.1926605504587156,0.1527777777777778,0.25,0.270042194092827,0.31390134529147984,0.2595419847328244,0.2396694214876033,0.25925925925925924,0.22085889570552147,0.3125,0.17475728155339806,0.2905982905982906,0.3,0.23754789272030652,0.24855491329479767,0.23798882681564246,0.22549019607843138,0.1864951768488746,0.21604938271604937,0.23404255319148937,0.2457627118644068,0.18382352941176472,0.25,0.21818181818181817,0.18775510204081633,0.24378109452736318,0.28,0.28313253012048195,0.3216374269005848,
vicuna-7b-v1.5-lora-mctaco-modified2,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco-modified2,Charlie911/vicuna-7b-v1.5-lora-mctaco-modified2,7.0,,,0.484895905846249,,0.48431322113675834,0.386518771331058,0.5488946425014938,0.31,0.45925925925925926,0.4342105263157895,0.52,0.5094339622641509,0.5486111111111112,0.3,0.43,0.38,0.37572254335260113,0.16666666666666666,0.65,0.4297872340425532,0.2807017543859649,0.496551724137931,0.29894179894179895,0.2777777777777778,0.32,0.5548387096774193,0.39408866995073893,0.47,0.6484848484848484,0.6161616161616161,0.6787564766839378,0.45897435897435895,0.24814814814814815,0.41596638655462187,0.2980132450331126,0.6770642201834862,0.38425925925925924,0.6813725490196079,0.6919831223628692,0.5695067264573991,0.5419847328244275,0.5619834710743802,0.5,0.5030674846625767,0.42857142857142855,0.6116504854368932,0.7350427350427351,0.56,0.6807151979565773,0.4913294797687861,0.23798882681564246,0.4738562091503268,0.5627009646302251,0.5555555555555556,0.3475177304964539,0.3650586701434159,0.4889705882352941,0.4624183006535948,0.5909090909090909,0.5673469387755102,0.6616915422885572,0.66,0.3795180722891566,0.695906432748538,
vicuna-7b-v1.5-lora-mctaco,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco,Charlie911/vicuna-7b-v1.5-lora-mctaco,7.0,,,0.49269373965287366,,0.4927164187819384,0.4274744027303754,0.5592511451902011,0.23,0.45185185185185184,0.4407894736842105,0.46,0.5433962264150943,0.5486111111111112,0.3,0.39,0.33,0.44508670520231214,0.21568627450980393,0.6,0.4085106382978723,0.3157894736842105,0.45517241379310347,0.30687830687830686,0.29365079365079366,0.37,0.5451612903225806,0.41379310344827586,0.44,0.6606060606060606,0.6161616161616161,0.694300518134715,0.45897435897435895,0.25555555555555554,0.4831932773109244,0.2781456953642384,0.7045871559633028,0.35185185185185186,0.7058823529411765,0.6835443037974683,0.6098654708520179,0.6106870229007634,0.5785123966942148,0.5740740740740741,0.5153374233128835,0.3482142857142857,0.6504854368932039,0.782051282051282,0.54,0.6679438058748404,0.5404624277456648,0.24134078212290502,0.5032679738562091,0.5691318327974276,0.5648148148148148,0.35106382978723405,0.3617992177314211,0.5441176470588235,0.46895424836601307,0.5818181818181818,0.6,0.7064676616915423,0.7,0.39759036144578314,0.6783625730994152,
vicuna-7b-v1.5-lora-mctaco-modified1,https://huggingface.co/Charlie911/vicuna-7b-v1.5-lora-mctaco-modified1,Charlie911/vicuna-7b-v1.5-lora-mctaco-modified1,7.0,,,0.47415215453344467,,0.4735381344797782,0.363481228668942,0.5485958972316272,0.3,0.4740740740740741,0.4144736842105263,0.48,0.5056603773584906,0.4861111111111111,0.27,0.44,0.4,0.41040462427745666,0.17647058823529413,0.67,0.4553191489361702,0.2807017543859649,0.47586206896551725,0.3201058201058201,0.2619047619047619,0.33,0.5064516129032258,0.3694581280788177,0.39,0.6424242424242425,0.5959595959595959,0.6476683937823834,0.39487179487179486,0.26666666666666666,0.42016806722689076,0.2781456953642384,0.6422018348623854,0.30092592592592593,0.6764705882352942,0.6666666666666666,0.5426008968609866,0.5114503816793893,0.5619834710743802,0.5092592592592593,0.5153374233128835,0.3482142857142857,0.5922330097087378,0.7350427350427351,0.58,0.685823754789272,0.48554913294797686,0.25921787709497207,0.46405228758169936,0.5498392282958199,0.5679012345679012,0.3546099290780142,0.37809647979139505,0.4522058823529412,0.46405228758169936,0.5909090909090909,0.5387755102040817,0.6865671641791045,0.67,0.35542168674698793,0.6783625730994152,
